n,x,y,lab
343.0,-13.149277218218467,10.401518023427835,1
344.0,-13.154848143050272,10.415805236063,1
345.0,-13.166033289772672,10.432965974730278,1
346.0,-13.16605086752662,10.435824239800922,1
347.0,-13.163228317527977,10.438574132296006,1
348.0,-13.160453113271029,10.43570736027863,1
349.0,-13.15483396054352,10.42725971732928,1
350.0,-13.154797718708574,10.424388376162515,1
351.0,-13.15206443867561,10.418662470343913,1
352.0,-13.152091490760446,10.421504799154782,1
353.0,-13.154888742649769,10.432911789188179,1
354.0,-13.157669791665624,10.447121405128001,1
355.0,-13.165942744651105,10.45864557108592,1
356.0,-13.17439553175386,10.47850130021107,1
357.0,-13.199381636910903,10.50704095523774,1
358.0,-13.218874206079072,10.552549275136695,1
359.0,-13.224479768081133,10.578209026455061,1
360.0,-13.152059397442999,10.586751828235244,1
361.0,-13.034973431948826,10.575305924954762,1
362.0,-12.873111939867952,10.592449945096632,1
363.0,-12.699717708680126,10.603825613955479,1
364.0,-12.520716917922172,10.635188473361753,1
365.0,-12.296328737361637,10.652184157226442,1
366.0,-12.054812741086199,10.69774666128097,1
367.0,-11.764980213138207,10.729023274291299,1
368.0,-11.45481639449375,10.723377246237215,1
369.0,-11.138060495691324,10.709123871904842,1
370.0,-10.786886311580078,10.692054761261733,1
371.0,-10.417784504151598,10.677808107154302,1
372.0,-10.070465546417513,10.640780747995857,1
373.0,-9.70245385266087,10.60947517104542,1
374.0,-9.376661003962498,10.612376388526268,1
375.0,-8.984262230413414,10.598184556861227,1
376.0,-8.628298868418913,10.575401886785277,1
377.0,-8.268863881118317,10.515559012729982,1
378.0,-7.949187600869903,10.461396021535307,1
379.0,-7.654886989688296,10.38157257546062,1
380.0,-7.34277202464418,10.293175899872315,1
381.0,-7.0448318029150805,10.193341152657835,1
382.0,-6.697276572419737,10.0934354161799,1
383.0,-6.372152920554517,9.996271183791876,1
384.0,-6.070164971117795,9.921981505592166,1
385.0,-5.782213834165517,9.853318606794451,1
386.0,-5.5378007227184085,9.796111272096994,1
387.0,-5.249355004103387,9.735947985792562,1
388.0,-4.992839121813315,9.684458025629482,1
389.0,-4.692223028072344,9.624426517130559,1
390.0,-4.487775101981073,9.572730593041475,1
391.0,-4.286129717741579,9.515472405633194,1
392.0,-4.14295051416689,9.472487517752787,1
393.0,-3.996722915526552,9.435158494821076,1
394.0,-3.9352177729733957,9.418051132927566,1
395.0,-3.8942915790029224,9.406465651768782,1
396.0,-3.885591133973936,9.400739482580384,1
397.0,-3.888452916098971,9.400782435769521,1
398.0,-3.9031479628116466,9.397937542786488,1
399.0,-3.9206233837177984,9.397925830733662,1
400.0,-3.9265598479584267,9.409381429192049,1
401.0,-3.9322571475845,9.420863984941047,1
402.0,-3.9323164893501046,9.429411824428838,1
403.0,-3.929348695666888,9.426578472923026,1
404.0,-3.929421168754271,9.42087861366328,1
405.0,-3.9001494178442395,9.42658263823104,1
406.0,-3.8680151373002083,9.432252041295252,1
407.0,-3.835856754739509,9.438015925445042,1
408.0,-3.8328039344452214,9.440919658652646,1
409.0,-3.826965130310815,9.44948249056442,1
410.0,-3.8065324207038627,9.4580988746513,1
411.0,-3.7831425619751795,9.461000213206727,1
412.0,-3.7597375292346764,9.455228608270168,1
413.0,-3.75385676050475,9.452362994016443,1
414.0,-3.7480890788704304,9.452388088508568,1
415.0,-3.7479779247569036,9.449562142010157,1
416.0,-3.7509301663130743,9.446687639495597,1
417.0,-3.750953765377151,9.435118322837306,1
418.0,-3.7421165778666845,9.420774387433925,1
419.0,-3.7304001670760476,9.409341089210962,1
420.0,-3.7186948806881515,9.406557380252444,1
421.0,-3.718766613057007,9.409249915143558,1
422.0,-3.7158420245197172,9.423697344553535,1
423.0,-3.7099569449596084,9.449439694389332,1
424.0,-3.706980420994801,9.469553870699361,1
425.0,-3.707011673600424,9.478239154216462,1
426.0,-3.7098466361179936,9.472382386475305,1
427.0,-3.7128935014469926,9.463899756897415,1
428.0,-3.712865882874952,9.463869640938789,1
429.0,-3.7128833107570824,9.466672843596818,1
430.0,-3.7070401531257344,9.466670839998443,1
431.0,-3.7012393799428844,9.466717589259742,1
432.0,-3.6953638676972176,9.461034197546237,1
433.0,-3.698290004581424,9.458095432956588,1
434.0,-3.7011721260082053,9.455339296452498,1
435.0,-3.7012632109013266,9.455293173916273,1
436.0,-3.701129413620967,9.458131147029412,1
437.0,-3.70120721307678,9.461029606112247,1
438.0,-3.70700100980414,9.460905652956514,1
439.0,-3.7100206581632205,9.475243498356948,1
440.0,-3.7157778926378464,9.489735246541255,1
441.0,-3.7158336989709655,9.503984651507372,1
442.0,-3.718778863280818,9.501168137118428,1
443.0,-3.7128610383523144,9.495392247197403,1
444.0,-3.701175550419363,9.483877740138716,1
445.0,-3.689441970964175,9.47816268333227,1
446.0,-3.6894217252822306,9.466763244728169,1
447.0,-3.6894089801764856,9.461010454437845,1
448.0,-3.686505799951957,9.458106915158186,1
449.0,-3.6865037742062463,9.463815599329791,1
